group,sta,date,prcp,yr,Period
OEL>1989,OEL,1995-04-15,428,1995,>1989
ONI>1989,ONI,1995-04-15,1223,1995,>1989
RAP>1989,RAP,1995-04-15,655,1995,>1989
COT>1989,COT,1995-05-15,1324,1995,>1989
GOR>1989,GOR,1995-05-15,1303,1995,>1989
MIS>1989,MIS,1995-05-15,1830,1995,>1989
OEL>1989,OEL,1995-05-15,1009,1995,>1989
ONI>1989,ONI,1995-05-15,1386,1995,>1989
RAP>1989,RAP,1995-05-15,1024,1995,>1989
COT>1989,COT,1995-06-15,683,1995,>1989
GOR>1989,GOR,1995-06-15,1656,1995,>1989
MIS>1989,MIS,1995-06-15,975,1995,>1989
OEL>1989,OEL,1995-06-15,838,1995,>1989
ONI>1989,ONI,1995-06-15,982,1995,>1989
RAP>1989,RAP,1995-06-15,1144,1995,>1989
COT>1989,COT,1995-07-15,300,1995,>1989
GOR>1989,GOR,1995-07-15,797,1995,>1989
MIS>1989,MIS,1995-07-15,449,1995,>1989
OEL>1989,OEL,1995-07-15,874,1995,>1989
ONI>1989,ONI,1995-07-15,668,1995,>1989
RAP>1989,RAP,1995-07-15,730,1995,>1989
COT>1989,COT,1995-08-15,29,1995,>1989
GOR>1989,GOR,1995-08-15,218,1995,>1989
MIS>1989,MIS,1995-08-15,356,1995,>1989
OEL>1989,OEL,1995-08-15,43,1995,>1989
ONI>1989,ONI,1995-08-15,456,1995,>1989
RAP>1989,RAP,1995-08-15,117,1995,>1989
COT>1989,COT,1995-09-15,211,1995,>1989
GOR>1989,GOR,1995-09-15,245,1995,>1989
MIS>1989,MIS,1995-09-15,542,1995,>1989
OEL>1989,OEL,1995-09-15,579,1995,>1989
ONI>1989,ONI,1995-09-15,359,1995,>1989
RAP>1989,RAP,1995-09-15,220,1995,>1989
COT>1989,COT,1995-10-15,627,1995,>1989
GOR>1989,GOR,1995-10-15,668,1995,>1989
MIS>1989,MIS,1995-10-15,1328,1995,>1989
OEL>1989,OEL,1995-10-15,514,1995,>1989
ONI>1989,ONI,1995-10-15,762,1995,>1989
RAP>1989,RAP,1995-10-15,615,1995,>1989
COT>1989,COT,1995-11-15,156,1995,>1989
GOR>1989,GOR,1995-11-15,231,1995,>1989
