sta,date,prcp
GOR,2008-02-15,116
GOR,2009-02-15,303
GOR,2010-02-15,183
GOR,2011-02-15,210
GOR,2012-02-15,254
GOR,2013-02-15,238
GOR,2014-02-15,161
GOR,2015-02-15,105
GOR,2016-02-15,84
GOR,2017-02-15,274
GOR,2018-02-15,243
GOR,1959-03-15,266
GOR,1960-03-15,61
GOR,1961-03-15,135
GOR,1962-03-15,113
GOR,1963-03-15,175
GOR,1964-03-15,89
GOR,1965-03-15,104
GOR,1966-03-15,247
GOR,1967-03-15,138
GOR,1968-03-15,170
GOR,1969-03-15,91
GOR,1970-03-15,263
GOR,1971-03-15,167
GOR,1972-03-15,69
GOR,1973-03-15,605
GOR,1974-03-15,69
GOR,1975-03-15,564
GOR,1976-03-15,155
GOR,1977-03-15,1055
GOR,1978-03-15,26
GOR,1979-03-15,417
GOR,1980-03-15,122
GOR,1981-03-15,84
GOR,1982-03-15,179
GOR,1983-03-15,203
GOR,1984-03-15,88
GOR,1985-03-15,96
GOR,1986-03-15,331
GOR,1987-03-15,855
GOR,1988-03-15,415
GOR,1989-03-15,183
GOR,1990-03-15,538
GOR,1991-03-15,49
GOR,1992-03-15,396
GOR,1993-03-15,504
GOR,1994-03-15,183
GOR,1995-03-15,214
GOR,1996-03-15,160
GOR,1997-03-15,139
GOR,1998-03-15,318
GOR,1999-03-15,123
GOR,2000-03-15,799
GOR,2001-03-15,218
GOR,2002-03-15,213
GOR,2003-03-15,443
GOR,2004-03-15,291
GOR,2005-03-15,247
GOR,2006-03-15,434
GOR,2007-03-15,482
GOR,2008-03-15,192
GOR,2009-03-15,470
GOR,2010-03-15,419
GOR,2011-03-15,292
GOR,2012-03-15,82
GOR,2013-03-15,175
GOR,2014-03-15,100
GOR,2015-03-15,41
GOR,2016-03-15,371
GOR,2017-03-15,450
GOR,2018-03-15,440
GOR,1959-04-15,191
GOR,1960-04-15,551
GOR,1961-04-15,161
GOR,1962-04-15,137
GOR,1963-04-15,425
GOR,1964-04-15,923
GOR,1965-04-15,272
GOR,1966-04-15,460
GOR,1967-04-15,258
GOR,1968-04-15,443
GOR,1969-04-15,301
GOR,1970-04-15,772
GOR,1971-04-15,852
GOR,1972-04-15,1052
GOR,1973-04-15,627
GOR,1974-04-15,491
GOR,1975-04-15,328
GOR,1976-04-15,563
GOR,1977-04-15,1133
GOR,1978-04-15,1031
GOR,1979-04-15,503
GOR,1980-04-15,69
GOR,1981-04-15,268
GOR,1982-04-15,40
GOR,1983-04-15,555
GOR,1984-04-15,596
GOR,1985-04-15,151
GOR,1986-04-15,973
GOR,1987-04-15,213
GOR,1988-04-15,356
GOR,1989-04-15,188
GOR,1990-04-15,661
GOR,1991-04-15,571
GOR,1992-04-15,46
GOR,1993-04-15,637
GOR,1994-04-15,225
GOR,1995-04-15,668
GOR,1996-04-15,478
GOR,1997-04-15,771
GOR,1998-04-15,99
GOR,1999-04-15,935
GOR,2000-04-15,938
GOR,2001-04-15,885
GOR,2002-04-15,274
GOR,2003-04-15,475
GOR,2004-04-15,211
GOR,2005-04-15,693
GOR,2006-04-15,602
GOR,2007-04-15,460
GOR,2008-04-15,368
GOR,2009-04-15,731
GOR,2010-04-15,973
GOR,2011-04-15,494
GOR,2012-04-15,682
