sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
LOD1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.64070456103877,0,2.07552437735181,2.58337167681967,2.46702815337797,5.44625312817814,2.29260851006688,-0.385230635673696,-1.38763948328983,0.0132977624998187
LON1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.23096709093677,0.101955441148721,1.94515470138557,4.08602999919756,1.23351407668898,5.22840300305101,0.187027962229361,1.1864246529115,-1.42443762308151,0.0265681666282034
LWR1,Sand Hills,ungaged,White Riv,Sand Hills,1.30319112548909,1.73324249952827,3.43114691347076,2.38168875676468,0,4.57485262766963,0.163159999184992,2.02322605553851,-2.01696388336732,0.017833089605066
LWR2,Sand Hills,ungaged,White Riv,Sand Hills,1.30319112548909,1.93715338182571,3.10252087791601,2.49425661785379,0,4.57485262766963,0.104109193715182,2.16553073907281,-1.7193675917032,0.0160420137395608
LWR3,Sand Hills,ungaged,White Riv,Sand Hills,1.30319112548909,2.03910882297443,2.66496328473036,2.75919293633556,0,4.57485262766963,0.139434107162233,2.25462214002648,-1.31964940987773,0.0142636424190131
LWR4,Sand Hills,ungaged,White Riv,Sand Hills,1.30319112548909,2.24301970527187,2.51972882388091,2.53891681609062,0,4.46592756510607,0,2.40554784099577,-1.28468740794266,0.0141160555284288
MER1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.38518455919668,0.458799485169247,3.03466496234753,3.85314662282817,3.70054223006695,5.01055287792389,3.54959094130388,-2.02874867861452,-0.300133429086142,0.0193220549362721
MER3,White River Badlands,ungaged,White Riv,Tertiary Clays,3.20706320025813,1.88617566125135,1.97695311177091,3.97019906957494,2.8641309901032,4.90162781536032,2.34927726624294,-0.365650617895266,0.327727058510702,0.00692358800164515
MER4,White River Badlands,ungaged,White Riv,Tertiary Clays,3.20706320025813,1.93715338182571,1.8243857363249,3.91182795430209,2.8641309901032,5.01055287792389,2.48383729780261,-0.379304970747858,0.36969421090696,0.00792404317066567
NFL1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.02392138950966,0.968576690912854,2.94954290237762,3.51451025545573,2.8641309901032,4.79270275279676,2.21796329902713,-0.682845190089759,-0.381212729746272,0.00689351910916705
PAS1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.23096709093677,1.12150985263594,2.13333908466254,3.12280692639449,1.95507355566372,4.6837776902332,0.833436121430696,0.64656150757596,-0.648087773922892,0.00792664032694492
